,PLAYER,RPG_return,PTS_return,APG_return,BLKPG_return,STPG_return,Total_return
34,Zaza Pachulia,0.573529411765,0.253012048193,-0.208333333333,0.275862068966,-0.0727272727273,0.821342922862
167,Monta Ellis,0.166666666667,-0.26455026455,0.219512195122,0.774193548387,-0.0810810810811,0.814741064544
9,Greg Monroe,-0.0392156862745,0.0062893081761,0.0952380952381,0.857142857143,-0.115044247788,0.804410326495
171,Shane Larkin,-0.0869565217391,0.0967741935484,0.233333333333,0.5,0.00819672131148,0.751347726454
162,Richard Jefferson,-0.44,-0.0172413793103,0.0,1.06666666667,0.139534883721,0.748960171077
15,Marcin Gortat,0.137931034483,0.114754098361,0.333333333333,-0.0223880597015,0.183333333333,0.746963739809
101,Matt Barnes,0.275,-0.0990099009901,0.133333333333,0.0757575757576,0.329545454545,0.714626462646
64,Trevor Booker,0.34,-0.208333333333,-0.0909090909091,-0.0576923076923,0.722222222222,0.705287490287
87,Robert Covington,0.222222222222,-0.192592592593,0.0666666666667,0.431818181818,0.172661870504,0.700776348618
134,Anthony Tolliver,0.0645161290323,-0.15873015873,0.125,0.333333333333,0.3125,0.676619303635
66,Nikola Mirotic,0.183673469388,0.0294117647059,0.166666666667,-0.0151515151515,0.30303030303,0.667630688639
191,Leandro Barbosa,0.0,-0.0704225352113,0.0,0.333333333333,0.403225806452,0.666136604574
123,Andre Iguodala,0.30303030303,-0.025641025641,0.133333333333,0.125,0.0948275862069,0.63055019693
169,Charlie Villanueva,0.173913043478,-0.0634920634921,0.333333333333,-0.117647058824,0.304347826087,0.630455080583
136,C.J. Miles,0.0322580645161,-0.0666666666667,0.0,0.378378378378,0.279069767442,0.62303954367
5,Nikola Vucevic,-0.211009174312,-0.129533678756,0.35,0.438356164384,0.164383561644,0.612196872959
53,Jimmy Butler,-0.0862068965517,0.125,0.272727272727,0.309090909091,-0.0171428571429,0.603468428124
70,Brandon Bass,-0.142857142857,-0.405660377358,-0.153846153846,1.28205128205,0.0,0.579687607989
172,Courtney Lee,0.130434782609,-0.00990099009901,-0.3,0.625,0.123711340206,0.569245132716
39,Luis Scola,-0.138461538462,0.0744680851064,-0.384615384615,0.909090909091,0.0862068965517,0.546688967672
62,Lavoy Allen,0.0588235294118,0.1,-0.166666666667,-0.208955223881,0.75,0.533201638865
36,Giannis Antetokounmpo,0.0746268656716,0.220472440945,0.0769230769231,0.104761904762,0.0555555555556,0.532339843857
141,Mike Conley,-0.0333333333333,-0.0506329113924,0.0740740740741,0.55,-0.00787401574803,0.5322338136
78,John Wall,-0.0869565217391,0.130681818182,-0.03,0.280701754386,0.228571428571,0.5229984794
50,Nicolas Batum,0.0677966101695,0.606382978723,0.125,-0.125,-0.163636363636,0.510543225257
11,Kevin Love,0.123711340206,-0.0487804878049,0.0909090909091,0.0,0.323529411765,0.489369355075
57,Thaddeus Young,0.648148148148,0.0851063829787,-0.347826086957,0.181818181818,-0.079754601227,0.487492024762
46,Amir Johnson,0.016393442623,-0.129032258065,0.0,0.481012658228,0.118644067797,0.487017910583
30,Russell Westbrook,-0.027397260274,-0.149466192171,0.139534883721,0.285714285714,0.191387559809,0.439773276799
44,Tobias Harris,0.142857142857,-0.198830409357,0.222222222222,0.207547169811,0.00990099009901,0.383697115633
38,Alex Len,-0.106060606061,0.0634920634921,0.8,-0.421052631579,0.0204081632653,0.356786989118
117,Spencer Hawes,0.2,-0.0344827586207,0.666666666667,-0.602739726027,0.121212121212,0.350656303231
126,Wayne Ellington,-0.375,-0.37,-0.5,1.33333333333,0.235294117647,0.32362745098
137,Jared Dudley,0.225806451613,0.194444444444,0.0555555555556,-0.133333333333,-0.02,0.32247311828
125,Jordan Clarkson,0.1875,0.268907563025,-0.314285714286,-0.2,0.372093023256,0.314214871995
31,Kawhi Leonard,-0.0416666666667,0.212121212121,0.04,0.24,-0.177489177489,0.272965367965
51,Cody Zeller,0.0172413793103,0.184210526316,-0.4375,-0.113924050633,0.6,0.250027854993
159,Marco Belinelli,-0.28,0.173913043478,0.333333333333,0.0,0.02,0.247246376812
33,Roy Hibbert,-0.211267605634,-0.367924528302,0.272727272727,-0.00609756097561,0.541666666667,0.229104244483
82,Damian Lillard,-0.0434782608696,0.171428571429,0.112903225806,0.192307692308,-0.220338983051,0.212822245622
58,Michael Carter-Williams,-0.0566037735849,-0.184931506849,-0.164179104478,0.622222222222,-0.0297619047619,0.186745932548
37,Robin Lopez,-0.10447761194,-0.0833333333333,0.666666666667,-0.0352112676056,-0.259259259259,0.184385194528
158,Mario Chalmers,-0.0384615384615,0.00980392156863,-0.0263157894737,0.307692307692,-0.111111111111,0.141607790215
154,Jeremy Lin,0.230769230769,0.116071428571,-0.326086956522,0.488372093023,-0.378378378378,0.130747417464
151,Bojan Bogdanovic,0.296296296296,0.0333333333333,0.111111111111,-0.416666666667,0.0909090909091,0.114983164983
43,Bismack Biyombo,0.296875,0.125,0.0,0.00645161290323,-0.321428571429,0.106898041475
92,Stephen Curry,0.255813953488,0.264705882353,-0.142857142857,-0.3,0.0147058823529,0.0923685753371
119,Goran Dragic,-0.0571428571429,-0.245398773006,0.111111111111,0.263157894737,0.0,0.071727375699
157,Eric Gordon,-0.192307692308,0.111940298507,-0.289473684211,0.260869565217,0.158536585366,0.0495650725725
32,Al Horford,0.0,0.0,-0.0625,0.139534883721,-0.0561797752809,0.02085510844
121,Deron Williams,-0.0857142857143,0.107692307692,-0.151515151515,0.08,0.063829787234,0.0142926576969
118,Dwyane Wade,0.142857142857,-0.153488372093,-0.0625,0.294117647059,-0.21186440678,0.00912201104328
111,Wesley Matthews,-0.135135135135,-0.188679245283,-0.260869565217,0.705882352941,-0.1640625,-0.0428640926944
25,Jared Sullinger,0.144736842105,-0.255639097744,-0.0869565217391,-0.0694444444444,0.223684210526,-0.0436190112964
94,Reggie Jackson,-0.119047619048,0.303448275862,0.1,-0.416666666667,0.037037037037,-0.0952289728152
149,Zach LaVine,0.107142857143,0.168316831683,-0.138888888889,-0.153846153846,-0.0857142857143,-0.102989639623
75,Kelly Olynyk,-0.0425531914894,-0.0194174757282,-0.0588235294118,0.0983606557377,-0.09,-0.112433540892
47,LeBron James,0.216666666667,-0.0118577075099,-0.162162162162,-0.0422535211268,-0.120253164557,-0.119859888689
0,DeAndre Jordan,-0.113333333333,0.0347826086957,0.428571428571,0.0179372197309,-0.505050505051,-0.137092581386
14,Kenneth Faried,0.0,-0.00793650793651,-0.0833333333333,0.381578947368,-0.44578313253,-0.155474026432
120,Rodney Stuckey,-0.0285714285714,-0.222222222222,-0.161290322581,0.285714285714,-0.0379746835443,-0.164344371204
150,Terrence Ross,-0.214285714286,-0.15306122449,-0.4,0.433333333333,0.169230769231,-0.164782836211
49,Rudy Gay,0.152542372881,-0.151658767773,-0.540540540541,0.15,0.211538461538,-0.178118473893
187,Devin Harris,0.166666666667,-0.136363636364,-0.322580645161,0.166666666667,-0.0582524271845,-0.183863375376
20,Tristan Thompson,0.175,-0.105882352941,0.4,-0.486486486486,-0.19512195122,-0.212490790647
63,Evan Turner,-0.117647058824,-0.0526315789474,-0.272727272727,0.304347826087,-0.118811881188,-0.257469965599
83,Chris Paul,-0.173913043478,-0.0314136125654,-0.0490196078431,-0.111111111111,0.0947368421053,-0.270720532893
41,Taj Gibson,0.09375,-0.242718446602,0.181818181818,-0.173553719008,-0.155172413793,-0.295876397585
24,Marc Gasol,-0.0769230769231,-0.0402298850575,0.0,-0.191358024691,0.0116279069767,-0.296883079695
54,James Harden,0.0526315789474,0.00729927007299,-0.0142857142857,-0.162162162162,-0.205263157895,-0.321780185322
96,Jeff Green,0.047619047619,-0.28,0.117647058824,-0.25,0.0147058823529,-0.350028011204
