RANK_steals_2016,PLAYER,TEAM,GP,MPG,STL,STPG,STP48M,TO,TOPG,PF,ST/TO,ST/PF
80,Eric Gordon,NO,41,33.4,39,0.95,1.37,65,1.59,89,0.60,0.44
81,Garrett Temple,WSH,39,24.5,37,0.95,1.86,27,0.69,83,1.37,0.45
82,Ty Lawson,HOU,38,24.6,36,0.95,1.85,67,1.76,56,0.54,0.64
83,Jared Sullinger,BOS,43,24.1,40,0.93,1.86,58,1.35,118,0.69,0.34
84,Dwyane Wade,MIA,41,30.1,38,0.93,1.48,108,2.63,58,0.35,0.66
85,Trevor Booker,UTAH,41,23.2,38,0.93,1.92,52,1.27,102,0.73,0.37
86,Ian Mahinmi,IND,39,23.8,36,0.92,1.86,45,1.15,125,0.80,0.29
87,Damian Lillard,POR,39,36.2,36,0.92,1.23,130,3.33,93,0.28,0.39
88,Nicolas Batum,CHA,37,34.8,34,0.92,1.27,114,3.08,65,0.30,0.52
89,Dion Waiters,OKC,45,26.9,41,0.91,1.63,72,1.60,82,0.57,0.50
90,Andre Roberson,OKC,44,21.9,40,0.91,1.99,27,0.61,81,1.48,0.49
91,Kelly Olynyk,BOS,43,20.9,39,0.91,2.08,53,1.23,107,0.74,0.36
92,Kevin Love,CLE,42,32.4,38,0.90,1.34,86,2.05,86,0.44,0.44
93,Raul Neto,UTAH,42,19.3,38,0.90,2.25,58,1.38,67,0.66,0.57
94,Tony Parker,SA,40,27.1,36,0.90,1.59,64,1.60,63,0.56,0.57
95,Kobe Bryant,LAL,38,29.1,34,0.89,1.47,87,2.29,74,0.39,0.46
96,Darren Collison,SAC,38,28.5,34,0.89,1.51,70,1.84,68,0.49,0.50
97,Tim Duncan,SA,37,25.9,33,0.89,1.65,63,1.70,88,0.52,0.38
98,Larry Nance Jr.,LAL,37,20.5,33,0.89,2.09,24,0.65,69,1.38,0.48
99,Patty Mills,SA,44,20.3,39,0.89,2.10,37,0.84,48,1.05,0.81
100,Evan Turner,BOS,44,26.8,39,0.89,1.59,93,2.11,72,0.42,0.54
101,Will Barton,DEN,44,29.0,39,0.89,1.46,70,1.59,78,0.56,0.50
102,Marcus Morris,DET,43,36.4,38,0.88,1.16,78,1.81,92,0.49,0.41
103,Nikola Jokic,DEN,42,19.0,37,0.88,2.22,52,1.24,93,0.71,0.40
104,Darrell Arthur,DEN,41,21.1,36,0.88,1.99,37,0.90,104,0.97,0.35
105,Cody Zeller,CHA,40,24.8,35,0.88,1.70,37,0.93,119,0.95,0.29
106,Leandro Barbosa,GS,31,14.4,27,0.87,2.90,31,1.00,51,0.87,0.53
107,Marc Gasol,MEM,45,35.0,39,0.87,1.19,106,2.36,126,0.37,0.31
108,Luol Deng,MIA,37,31.2,32,0.86,1.33,34,0.92,57,0.94,0.56
109,Wesley Johnson,LAC,43,17.9,37,0.86,2.30,25,0.58,78,1.48,0.47
110,Nikola Mirotic,CHI,43,24.1,37,0.86,1.72,65,1.51,90,0.57,0.41
111,Ben McLemore,SAC,43,21.1,37,0.86,1.96,65,1.51,86,0.57,0.43
112,Carmelo Anthony,NY,42,34.6,36,0.86,1.19,104,2.48,101,0.35,0.36
113,Rodney Hood,UTAH,41,30.5,35,0.85,1.35,67,1.63,123,0.52,0.28
114,Al-Farouq Aminu,POR,46,29.1,39,0.85,1.40,75,1.63,103,0.52,0.38
115,Nikola Vucevic,ORL,39,31.1,33,0.85,1.31,67,1.72,96,0.49,0.34
116,Al Horford,ATL,45,31.5,38,0.84,1.29,59,1.31,84,0.64,0.45
117,Reggie Jackson,DET,44,31.0,37,0.84,1.30,124,2.82,95,0.30,0.39
118,Cory Joseph,TOR,43,25.8,36,0.84,1.56,57,1.33,71,0.63,0.51
119,Allen Crabbe,POR,46,26.0,38,0.83,1.52,41,0.89,117,0.93,0.32
120,T.J. Warren,PHX,44,22.8,36,0.82,1.72,30,0.68,87,1.20,0.41
121,Andrew Wiggins,MIN,44,34.9,36,0.82,1.12,99,2.25,93,0.36,0.39
122,Omri Casspi,SAC,38,30.0,31,0.82,1.31,63,1.66,103,0.49,0.30
123,Raymond Felton,DAL,44,26.5,35,0.80,1.44,70,1.59,72,0.50,0.49
124,Kyle Korver,ATL,43,30.5,34,0.79,1.25,60,1.40,86,0.57,0.40
125,Marcus Thornton,HOU,38,19.6,30,0.79,1.94,32,0.84,56,0.94,0.54
126,Mason Plumlee,POR,46,26.1,36,0.78,1.44,94,2.04,141,0.38,0.26
127,Jabari Parker,MIL,40,27.8,31,0.78,1.34,39,0.98,70,0.79,0.44
128,Alonzo Gee,NO,43,20.9,33,0.77,1.76,29,0.67,99,1.14,0.33
129,Jason Terry,HOU,38,17.2,29,0.76,2.13,28,0.74,56,1.04,0.52
130,Langston Galloway,NY,46,24.0,35,0.76,1.52,32,0.70,91,1.09,0.38
131,Kristaps Porzingis,NY,46,28.2,35,0.76,1.30,80,1.74,134,0.44,0.26
132,Rodney Stuckey,IND,33,25.0,25,0.76,1.45,48,1.45,45,0.52,0.56
133,Terrence Ross,TOR,37,22.9,28,0.76,1.59,28,0.76,54,1.00,0.52
134,Chris Bosh,MIA,44,33.6,33,0.75,1.07,61,1.39,76,0.54,0.43
135,Ersan Ilyasova,DET,44,28.0,33,0.75,1.29,49,1.11,103,0.67,0.32
136,Kevin Garnett,MIN,38,14.6,28,0.74,2.42,16,0.42,70,1.75,0.40
137,Ramon Sessions,WSH,41,21.3,30,0.73,1.65,55,1.34,61,0.55,0.49
138,Matthew Dellavedova,CLE,41,27.1,30,0.73,1.30,61,1.49,93,0.49,0.32
