RANK_scoring-per-game_2015,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
215,Alex Len,PHX,69,22.0,6.3,2.6-5.1,.507,0.0-0.0,.333,1.1-1.5,.702
216,Shane Larkin,NY,76,24.5,6.2,2.5-5.7,.433,0.5-1.5,.302,0.8-1.0,.782
217,Jason Thompson,SAC,81,24.6,6.1,2.5-5.3,.470,0.0-0.0,.000,1.1-1.8,.622
218,Tony Snell,CHI,72,19.6,6.0,2.2-5.2,.429,1.0-2.7,.371,0.6-0.8,.800
219,Tarik Black,HOU/LAL,63,19.0,6.0,2.5-4.3,.575,0.0-0.0,.000,1.0-1.9,.551
220,Otto Porter Jr.,WSH,74,19.4,6.0,2.4-5.3,.450,0.5-1.4,.337,0.8-1.1,.734
221,Kyle Singler,DET/OKC,80,21.8,6.0,2.2-5.6,.386,1.2-3.0,.398,0.5-0.7,.769
222,Jonas Jerebko,BOS/DET,75,16.4,6.0,2.3-5.1,.446,0.7-1.9,.386,0.7-0.9,.848
223,Shaun Livingston,GS,78,18.8,5.9,2.5-5.1,.500,0.0-0.0,.000,0.8-1.2,.714
224,Caron Butler,DET,78,20.8,5.9,2.1-5.1,.407,1.1-2.8,.379,0.7-0.8,.902
225,Quincy Acy,NY,68,18.9,5.9,2.2-4.9,.459,0.3-0.9,.300,1.1-1.4,.784
226,Richard Jefferson,DAL,74,16.8,5.8,1.9-4.4,.444,0.9-2.1,.426,1.1-1.5,.684
227,Spencer Hawes,LAC,73,17.5,5.8,2.2-5.7,.393,0.8-2.4,.313,0.6-0.9,.647
228,Vince Carter,MEM,66,16.5,5.8,2.0-6.2,.333,1.0-3.5,.297,0.7-0.9,.789
229,Kirk Hinrich,CHI,66,24.4,5.7,2.2-5.8,.373,0.9-2.5,.345,0.5-0.8,.700
230,Pero Antic,ATL,63,16.5,5.7,1.7-4.7,.365,0.8-2.7,.301,1.4-2.0,.715
231,Al-Farouq Aminu,DAL,74,18.5,5.6,2.0-4.8,.412,0.5-1.7,.274,1.1-1.6,.712
232,Cole Aldrich,NY,61,16.0,5.5,2.4-4.9,.478,0.0-0.0,.000,0.8-1.0,.781
233,Shawne Williams,DET/MIA,63,17.3,5.4,1.9-4.8,.403,1.0-2.8,.360,0.6-0.6,.875
234,Chris Andersen,MIA,60,18.9,5.3,2.0-3.5,.580,0.1-0.2,.308,1.3-1.9,.667
235,JaKarr Sampson,PHI,74,15.3,5.2,2.0-4.7,.422,0.4-1.7,.244,0.9-1.3,.670
236,Kent Bazemore,ATL,75,17.7,5.2,1.9-4.4,.426,0.6-1.8,.364,0.8-1.3,.600
237,Kosta Koufos,MEM,81,16.6,5.2,2.2-4.4,.508,0.0-0.0,.000,0.7-1.0,.647
238,Dante Cunningham,NO,66,25.0,5.2,2.3-5.1,.457,0.0-0.2,.100,0.4-0.7,.617
239,James Ennis,MIA,62,17.0,5.0,1.6-4.0,.409,0.5-1.5,.326,1.3-1.5,.840
