RANK_scoring-per-game_2016,PLAYER,TEAM,GP,MPG,PTS,FGM-FGA,FG%,3PM-3PA,3P%,FTM-FTA,FT%
242,Jeff Withey,UTAH,35,15.5,5.1,2.0-3.7,.543,0.0-0.0,.000,1.1-1.5,.717
243,Trey Lyles,UTAH,41,18.6,5.0,2.0-4.5,.435,0.5-1.0,.475,0.6-1.0,.610
244,Andre Roberson,OKC,44,21.9,5.0,2.1-4.2,.495,0.4-1.4,.274,0.5-0.8,.611
245,Maurice Harkless,POR,46,17.2,5.0,2.0-4.3,.455,0.4-1.6,.264,0.7-1.2,.574
246,Alexis Ajinca,NO,33,12.4,5.0,2.2-4.2,.529,0.0-0.0,.000,0.5-0.6,.947
247,E'Twaun Moore,CHI,32,15.2,4.8,2.0-4.2,.489,0.4-1.0,.406,0.3-0.6,.579
248,Jerian Grant,NY,43,15.8,4.8,1.7-4.8,.341,0.2-1.1,.146,1.3-1.6,.824
249,Kyle O'Quinn,NY,36,11.7,4.7,1.9-3.8,.504,0.0-0.3,.000,0.8-1.1,.769
250,Chase Budinger,IND,39,16.0,4.6,1.7-4.2,.402,0.5-1.6,.295,0.8-1.1,.705
251,Ian Clark,GS,38,9.9,4.6,1.8-3.7,.472,0.7-1.4,.455,0.4-0.4,.875
252,Nemanja Bjelica,MIN,39,18.8,4.5,1.6-3.8,.416,0.8-2.4,.359,0.5-0.8,.606
253,Kelly Oubre Jr.,WSH,34,13.8,4.5,1.6-4.0,.401,0.6-1.6,.375,0.7-1.0,.697
254,Mario Hezonja,ORL,39,13.7,4.4,1.6-3.8,.409,0.6-1.6,.359,0.7-0.8,.933
255,Beno Udrih,MIA/MEM,32,15.3,4.3,1.8-4.1,.432,0.3-0.9,.367,0.4-0.4,.923
256,D.J. Augustin,OKC,32,15.4,4.3,1.4-3.7,.376,0.7-1.9,.383,0.8-1.1,.765
257,Dante Cunningham,NO,41,19.6,4.3,1.7-3.9,.430,0.6-1.8,.351,0.3-0.5,.650
258,Ronnie Price,PHX,34,14.8,4.2,1.4-3.6,.382,0.9-2.5,.381,0.5-0.6,.895
259,Joe Ingles,UTAH,42,13.9,4.2,1.5-3.7,.417,1.0-2.5,.377,0.1-0.1,.833
260,Shabazz Napier,ORL,36,12.1,4.1,1.4-4.0,.340,0.6-1.9,.313,0.8-1.0,.806
261,Alonzo Gee,NO,43,20.9,4.0,1.6-3.3,.500,0.3-0.9,.297,0.5-0.6,.840
262,Lance Stephenson,LAC,35,15.8,3.9,1.5-3.7,.422,0.4-1.1,.350,0.5-0.7,.696
263,Jonas Jerebko,BOS,43,13.5,3.6,1.3-3.2,.394,0.5-1.1,.435,0.6-0.8,.771
264,Kyle Anderson,SA,41,12.2,3.6,1.4-2.7,.505,0.1-0.4,.333,0.7-1.0,.714
265,Johnny O'Bryant III,MIL,42,14.7,3.5,1.5-3.5,.432,0.0-0.0,1.000,0.5-0.8,.667
266,Noah Vonleh,POR,46,15.8,3.5,1.4-3.4,.420,0.1-0.5,.174,0.6-0.7,.813
267,Thomas Robinson,BKN,39,9.9,3.5,1.5-3.0,.492,0.0-0.0,.000,0.5-0.9,.556
268,James Jones,CLE,34,9.9,3.4,1.1-2.9,.370,0.8-2.2,.355,0.5-0.6,.762
269,Omer Asik,NO,36,16.9,3.4,1.2-2.3,.500,0.0-0.0,.000,1.1-1.7,.633
270,Kevin Garnett,MIN,38,14.6,3.2,1.4-3.0,.470,0.0-0.0,.000,0.4-0.6,.667
271,Tayshaun Prince,MIN,45,20.9,3.2,1.5-3.2,.479,0.0-0.3,.167,0.1-0.2,.545
272,Jared Cunningham,CLE,34,10.1,3.1,0.9-2.6,.360,0.3-0.9,.333,0.9-1.4,.625
273,Kyle Singler,OKC,34,11.8,2.9,1.0-2.8,.354,0.4-1.4,.306,0.4-0.7,.652
274,Luc Richard Mbah a Moute,LAC,41,15.1,2.9,1.1-2.5,.442,0.2-0.6,.375,0.4-0.7,.607
275,Chris Johnson,UTAH,34,10.9,2.9,1.0-2.7,.376,0.4-1.3,.273,0.4-0.6,.750
276,Rashad Vaughn,MIL,38,11.3,2.3,0.8-2.7,.298,0.5-1.4,.365,0.2-0.2,.889
277,Nick Collison,OKC,38,12.4,2.1,0.8-1.9,.419,0.0-0.1,.000,0.5-0.7,.720
278,Mike Miller,DEN,32,8.7,1.4,0.5-1.3,.372,0.4-1.2,.359,0.0-0.0,.000
